iter	Accuracy	Logloss
240	0.9781144781	0.08867614076
241	0.9797979798	0.08772035368
242	0.9797979798	0.08756639536
243	0.9797979798	0.08748237235
244	0.9797979798	0.08708829391
245	0.9781144781	0.0863236708
246	0.9781144781	0.08615153428
247	0.9781144781	0.08613971568
248	0.9781144781	0.0855700824
249	0.9797979798	0.084948747
250	0.9797979798	0.08445007226
251	0.9797979798	0.083946514
252	0.9831649832	0.0827254489
253	0.9831649832	0.08218466096
254	0.9848484848	0.08195834882
255	0.9848484848	0.08191281221
256	0.9848484848	0.08177350635
257	0.9848484848	0.08157535918
258	0.9848484848	0.08086370009
259	0.9848484848	0.08051949225
260	0.9848484848	0.08047348613
261	0.9831649832	0.08030223354
262	0.9848484848	0.07922011282
263	0.9848484848	0.07904360896
264	0.9848484848	0.07877411278
265	0.9848484848	0.07861289447
266	0.9848484848	0.07835523248
267	0.9848484848	0.07806620468
268	0.9848484848	0.07737572016
269	0.9848484848	0.07717251542
270	0.9848484848	0.07665288954
271	0.9848484848	0.07654744273
272	0.9848484848	0.07638297497
273	0.9848484848	0.07610563876
274	0.9865319865	0.07592853843
275	0.9865319865	0.07575547691
276	0.9865319865	0.07524985695
277	0.9865319865	0.07472496847
278	0.9865319865	0.07450536098
279	0.9848484848	0.07407917521
280	0.9848484848	0.07399334934
281	0.9848484848	0.07368031246
282	0.9848484848	0.07362042337
283	0.9865319865	0.07299011824
284	0.9865319865	0.07275587458
285	0.9848484848	0.07251482002
286	0.9865319865	0.07226824698
287	0.9865319865	0.07209522376
288	0.9865319865	0.07205904357
289	0.9865319865	0.07195695106
290	0.9865319865	0.07172526048
291	0.9865319865	0.07137736875
292	0.9865319865	0.07115766205
293	0.9865319865	0.07096860891
294	0.9865319865	0.07070276266
295	0.9865319865	0.07046970012
296	0.9865319865	0.07027865657
297	0.9865319865	0.07004776891
298	0.9865319865	0.0698772191
299	0.9848484848	0.06976993712
300	0.9865319865	0.06927582756
301	0.9865319865	0.06890468734
302	0.9865319865	0.06865883144
303	0.9865319865	0.06853480889
304	0.9865319865	0.06841036721
305	0.9865319865	0.06837412322
306	0.9865319865	0.06828680561
307	0.9865319865	0.06789759728
308	0.9865319865	0.06766513888
309	0.9865319865	0.0675646546
310	0.9865319865	0.06723800995
311	0.9865319865	0.06716005152
312	0.9865319865	0.06711067673
313	0.9865319865	0.06703209866
314	0.9865319865	0.06651677446
315	0.9865319865	0.06639774721
316	0.9865319865	0.06636331475
317	0.9865319865	0.06623029578
318	0.9865319865	0.06619561886
319	0.9865319865	0.06617466152
320	0.9865319865	0.06576464106
321	0.9865319865	0.06561877331
322	0.9865319865	0.06541436274
323	0.9865319865	0.06537287466
324	0.9865319865	0.06514788674
325	0.9865319865	0.06509049723
326	0.9865319865	0.06490052569
327	0.9865319865	0.06485953009
328	0.9865319865	0.06457042378
329	0.9865319865	0.06418173424
330	0.9865319865	0.06410761897
331	0.9865319865	0.06379810956
332	0.9865319865	0.06359503503
333	0.9865319865	0.06337437105
334	0.9865319865	0.06328245821
335	0.9865319865	0.06318738119
336	0.9865319865	0.06313035955
337	0.9865319865	0.06308636528
338	0.9865319865	0.06305079169
339	0.9865319865	0.06223795886
340	0.9865319865	0.06199275343
341	0.9865319865	0.06196927043
342	0.9865319865	0.06172291785
343	0.9865319865	0.06165228635
344	0.9865319865	0.06141743835
345	0.9865319865	0.06113697558
346	0.9865319865	0.06070489269
347	0.9865319865	0.06065258282
348	0.9882154882	0.06039801104
349	0.9882154882	0.05958520748
350	0.9882154882	0.05909173754
351	0.9882154882	0.05890033022
352	0.9882154882	0.05861345379
353	0.9882154882	0.05859436666
354	0.9882154882	0.05851844451
355	0.9882154882	0.0584458144
356	0.9882154882	0.05813788864
357	0.9882154882	0.05811556752
358	0.9882154882	0.05783463808
359	0.9882154882	0.0574771821
360	0.9882154882	0.05743683469
361	0.9882154882	0.05740022158
362	0.9882154882	0.05737551129
363	0.9882154882	0.05734365645
364	0.9882154882	0.0572892803
365	0.9882154882	0.05714872927
366	0.9882154882	0.0570468196
367	0.9882154882	0.05702362462
368	0.9882154882	0.05686250681
369	0.9882154882	0.05672731049
370	0.9882154882	0.05663683319
371	0.9882154882	0.0566209543
372	0.9882154882	0.05636478577
373	0.9882154882	0.05625401599
374	0.9882154882	0.05595816899
375	0.9882154882	0.05573444135
376	0.9882154882	0.0555509585
377	0.9882154882	0.05545799266
378	0.9882154882	0.05521714539
379	0.9882154882	0.05519458428
380	0.9882154882	0.05516579659
381	0.9882154882	0.05509687869
382	0.9882154882	0.05502952852
383	0.9882154882	0.05501440548
384	0.9882154882	0.05489270092
385	0.9882154882	0.05483733401
386	0.9882154882	0.05472433744
387	0.9882154882	0.05450966982
388	0.9882154882	0.0544310882
389	0.9882154882	0.05435130505
390	0.9882154882	0.05380641594
391	0.9882154882	0.05358859299
392	0.9882154882	0.05356623308
393	0.9882154882	0.0533919488
394	0.9882154882	0.05319905818
395	0.9882154882	0.0529896908
396	0.9882154882	0.0529742654
397	0.9882154882	0.05291303585
398	0.9882154882	0.05283303265
399	0.9882154882	0.05280927266
400	0.9882154882	0.05278509289
401	0.9882154882	0.05275950205
402	0.9882154882	0.05249950853
403	0.9882154882	0.05212998373
404	0.9882154882	0.05206343416
405	0.9882154882	0.05202615806
406	0.9882154882	0.05172168022
407	0.9882154882	0.05147984427
408	0.9882154882	0.05110592585
409	0.9882154882	0.05096915072
410	0.9882154882	0.050696743
411	0.9882154882	0.05061766508
412	0.9882154882	0.05046647437
413	0.9882154882	0.0503462882
414	0.9882154882	0.05021902058
415	0.9898989899	0.04988569983
416	0.9898989899	0.04983039477
417	0.9898989899	0.04980075222
